epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.07037,2.30028,4.0446,1.57003,1,0.2237,0.4686,0.37928,1.05889,2.81311,0.97572,0.00141363,0.000471211,0.00141363,0.000471211,0.00141363,0.000471211,0.00141363,0.000471211
2,14.7489,0.88024,1.53442,0.90057,0.99768,0.73535,0.73586,0.67155,0.56667,0.8814,0.7884,0.00278635,0.000928783,0.00278635,0.000928783,0.00278635,0.000928783,0.00278635,0.000928783
3,20.0141,0.57059,0.90105,0.82807,0.91657,0.89616,0.87988,0.76255,0.44395,0.60186,0.76278,0.00410248,0.00136749,0.00410248,0.00136749,0.00410248,0.00136749,0.00410248,0.00136749
4,25.2055,0.50937,0.76643,0.81746,0.91128,0.79445,0.88993,0.75181,0.4198,0.51396,0.75794,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,30.421,0.44894,0.68058,0.80442,0.94728,0.92724,0.92375,0.7887,0.36071,0.46503,0.74847,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,35.4026,0.41319,0.63166,0.79951,0.94885,0.92859,0.92796,0.8341,0.30919,0.43384,0.74108,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,40.2507,0.40325,0.60609,0.797,0.92172,0.90144,0.92155,0.81547,0.293,0.41279,0.7442,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,45.3021,0.3738,0.5674,0.79474,0.93534,0.91508,0.92859,0.84003,0.28597,0.41113,0.73797,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,50.4526,0.36651,0.54862,0.79235,0.88831,0.85895,0.9007,0.81309,0.25775,0.38687,0.73438,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,55.6006,0.35361,0.52887,0.79126,0.93975,0.86817,0.91672,0.83154,0.27104,0.39059,0.7308,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,60.6675,0.33784,0.5071,0.78787,0.93038,0.92603,0.93778,0.82503,0.34676,0.40892,0.7396,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,65.691,0.32892,0.49141,0.78798,0.89546,0.90376,0.91441,0.81568,0.28884,0.39207,0.73506,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,70.8468,0.32266,0.47742,0.78808,0.94119,0.94335,0.9447,0.83815,0.23938,0.35279,0.73112,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,75.8852,0.32788,0.48587,0.78373,0.95423,0.90315,0.92995,0.84575,0.23786,0.35913,0.72854,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,80.9911,0.3153,0.45976,0.78634,0.91883,0.91703,0.9194,0.85636,0.23896,0.33834,0.73311,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,86.1158,0.30366,0.44267,0.78495,0.9488,0.94687,0.94104,0.83172,0.28781,0.334,0.73615,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,91.3086,0.29579,0.42946,0.78377,0.91882,0.93051,0.92675,0.85779,0.24212,0.33352,0.72956,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,96.4178,0.29478,0.42582,0.78697,0.94319,0.91821,0.92612,0.84322,0.25041,0.32867,0.73116,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,101.576,0.28988,0.41876,0.78499,0.90575,0.94343,0.92725,0.84337,0.2545,0.31434,0.72944,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,106.702,0.2865,0.41128,0.78344,0.96299,0.91209,0.93105,0.82576,0.27931,0.32503,0.7281,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,111.785,0.27954,0.40144,0.78575,0.95266,0.88388,0.92637,0.84358,0.20693,0.28657,0.72695,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,117.082,0.27228,0.39677,0.78337,0.9595,0.88117,0.91539,0.836,0.22585,0.27703,0.72612,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,122.257,0.27001,0.39107,0.78246,0.87848,0.88658,0.91128,0.82507,0.2465,0.31171,0.73007,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,127.385,0.26306,0.38042,0.78151,0.9133,0.87474,0.92415,0.82913,0.24482,0.27355,0.72985,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,132.371,0.26378,0.37633,0.78109,0.91856,0.86496,0.91645,0.82718,0.23188,0.26981,0.7284,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,137.39,0.26005,0.36934,0.78043,0.91713,0.83658,0.89471,0.83896,0.25068,0.27412,0.72748,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,142.596,0.25564,0.36108,0.78166,0.92259,0.84334,0.90706,0.83392,0.23295,0.25613,0.72722,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,147.925,0.25106,0.35247,0.77961,0.9876,0.88252,0.92055,0.86396,0.21738,0.22949,0.72899,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,153.052,0.25171,0.35579,0.78187,0.91665,0.84604,0.9103,0.85473,0.21342,0.23152,0.7266,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,158.227,0.24538,0.34105,0.77832,0.95647,0.87764,0.93201,0.8546,0.21222,0.22928,0.72505,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,163.416,0.25126,0.35203,0.779,0.97753,0.85144,0.9288,0.8489,0.23891,0.22035,0.72749,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,168.607,0.24645,0.35066,0.77611,0.93886,0.84874,0.91108,0.82543,0.23905,0.22784,0.72704,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,173.735,0.23445,0.33466,0.77717,0.98109,0.85443,0.92378,0.83412,0.23779,0.21454,0.72556,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,178.883,0.23432,0.32978,0.77657,0.97779,0.85782,0.92348,0.85922,0.21195,0.19648,0.72514,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,183.95,0.24324,0.3337,0.77917,0.984,0.87761,0.92824,0.87196,0.21346,0.20436,0.72576,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,188.879,0.23487,0.33121,0.77796,0.96739,0.89334,0.93502,0.87482,0.2021,0.20634,0.72531,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,194.033,0.23001,0.32078,0.77796,0.98509,0.87442,0.92031,0.86339,0.19794,0.20056,0.72511,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,198.95,0.22776,0.32076,0.77744,0.96885,0.88723,0.9329,0.86416,0.20192,0.19556,0.72456,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,204.115,0.22605,0.31742,0.7767,0.99684,0.85077,0.91846,0.85481,0.22013,0.20259,0.7256,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,209.187,0.2272,0.3125,0.77816,0.97916,0.88117,0.9291,0.86934,0.18976,0.18686,0.72456,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,214.558,0.1912,0.36472,0.77662,0.96547,0.91374,0.94575,0.89018,0.19325,0.18629,0.72407,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,219.366,0.17385,0.34543,0.77561,0.94648,0.92577,0.93983,0.88661,0.20534,0.19068,0.72444,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,224.276,0.16802,0.33243,0.77482,0.96833,0.9109,0.94497,0.88052,0.19638,0.19001,0.72258,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,229.21,0.16907,0.32944,0.7734,0.98175,0.90495,0.94035,0.86836,0.22099,0.18247,0.72317,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,234.053,0.17136,0.33582,0.77479,0.98769,0.87439,0.93767,0.87856,0.19781,0.18384,0.72273,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,238.874,0.16599,0.32628,0.77068,0.99002,0.88064,0.93722,0.87774,0.17482,0.17223,0.72298,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,243.722,0.16666,0.32527,0.77079,0.99677,0.87888,0.93773,0.87904,0.17536,0.17111,0.72239,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,248.505,0.16026,0.32132,0.77012,0.97642,0.91443,0.94577,0.88842,0.18149,0.17061,0.72242,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,253.381,0.15505,0.31227,0.77363,0.96362,0.93611,0.94592,0.8768,0.20216,0.17538,0.72283,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,258.185,0.1577,0.31642,0.76955,0.97989,0.93117,0.94731,0.89152,0.17813,0.1666,0.72223,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
